,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
25706,3206780537,pandaeomes,en,Sat Apr 25 16:38:51 +0000 2015,,15,371,25
25707,21860274,goentzel,en,Wed Feb 25 12:35:50 +0000 2009,Eastern Time (US & Canada),276,125,37
25708,2412551653,ignaciowillats,en,Wed Mar 26 12:37:50 +0000 2014,,178,449,119
25712,1668821198,KemiEgan,en,Tue Aug 13 21:45:58 +0000 2013,Casablanca,24307,26229,7028
25713,945144872,TeacherQandA,en,Tue Nov 13 04:13:20 +0000 2012,Eastern Time (US & Canada),26,167,69
25714,3573224116,HempAmericana,en,Mon Sep 07 04:15:56 +0000 2015,,54,269,46
25716,2889222306,babylove00002,en,Tue Nov 04 02:32:01 +0000 2014,,55679,62849,404
25717,96988039,RimaElkouri,en,Tue Dec 15 14:13:55 +0000 2009,Central Time (US & Canada),29475,1245,3366
25718,35033420,Brooklynnn333,en,Fri Apr 24 20:41:02 +0000 2009,Central Time (US & Canada),51,141,368
25719,260504914,carlfucius,en,Fri Mar 04 00:49:21 +0000 2011,Eastern Time (US & Canada),39,125,703
25722,2407721786,gsmithmusic,en,Sun Mar 23 20:19:34 +0000 2014,,12679,12669,15492
25723,3198280518,ryniqozewaq,en,Sun May 17 02:04:45 +0000 2015,,594,548,28685
25724,402424119,BELIEVEixoye,en,Tue Nov 01 01:48:04 +0000 2011,Pacific Time (US & Canada),3018,3219,15235
25725,1613601134,CordovanSplotch,en-gb,Mon Jul 22 20:29:34 +0000 2013,Copenhagen,1468,1989,26213
25726,1618584415,emptydahlgbi,en,Wed Jul 24 20:28:20 +0000 2013,Pacific Time (US & Canada),11,784,22
25727,3224582100,SavageAsf702,en,Sat May 23 23:09:20 +0000 2015,,12789,12628,48
25728,568490316,EmilyLSA,en,Tue May 01 18:01:31 +0000 2012,,130,132,78
25729,455439588,KarriganT,en,Thu Jan 05 03:33:50 +0000 2012,,126,164,200
25730,3316777685,LinguistHire,en,Wed Jun 10 05:20:45 +0000 2015,,506,2020,82
25731,24042099,LegallyAspiring,en,Thu Mar 12 21:27:12 +0000 2009,London,787,1739,3544
25732,1043705496,heeeylove,en,Sat Dec 29 03:21:57 +0000 2012,,182,142,9409
25735,3315602210,05136c0a95eb4a2,en,Sat Aug 15 03:50:21 +0000 2015,,65,282,9
25737,16917803,DaniellsDesigns,en,Thu Oct 23 02:09:33 +0000 2008,Mountain Time (US & Canada),8869,12279,2945
25738,38216565,GeorgeSimcard_,en,Wed May 06 16:29:14 +0000 2009,Nuku'alofa,15307,20162,25424
25739,1023208722,Jacob_Glaser_,en,Thu Dec 20 00:57:19 +0000 2012,Pacific Time (US & Canada),311,213,396
25740,60399737,HeadTeachDunn,en,Sun Jul 26 21:21:05 +0000 2009,London,4781,3541,5275
25742,1726533451,LauraLandroWSJ,en,Tue Sep 03 19:59:39 +0000 2013,Atlantic Time (Canada),3155,437,3087
25744,36177211,tyagaraja,en,Tue Apr 28 20:45:14 +0000 2009,Central Time (US & Canada),884,978,1660
25745,2658660728,crazycatlady711,en,Sat Jul 19 04:42:47 +0000 2014,,295,466,4302
25746,3131309445,RollandNadege,en,Thu Apr 02 16:41:04 +0000 2015,,207,633,611
25748,2826954133,stkazakov1992,en,Mon Sep 22 20:19:25 +0000 2014,,1,306,22
25749,3028017838,ooyok1968,en,Tue Feb 10 11:07:12 +0000 2015,London,65,314,187
25750,2856345916,not_UPShelp,en,Sun Nov 02 07:38:15 +0000 2014,,13,221,53
25751,33923443,6BillionPeople,en,Tue Apr 21 14:43:32 +0000 2009,Central Time (US & Canada),3826542,4011665,175004
25752,2495008712,BeautiqueInNYC,en,Wed May 14 21:19:58 +0000 2014,Pacific Time (US & Canada),93052,91967,2060
25753,32152160,uccufans,en,Thu Apr 16 21:04:36 +0000 2009,Mountain Time (US & Canada),471,796,1839
25755,2707338241,CoinminerOne,en,Mon Aug 04 19:52:35 +0000 2014,Ljubljana,2870,4492,2047
25756,15454761,antonmills,en,Wed Jul 16 14:24:53 +0000 2008,Sydney,411,564,2273
25757,297085579,CPAGUK,en,Wed May 11 22:24:07 +0000 2011,London,13583,2308,8262
25759,244262455,Dingero,en,Fri Jan 28 22:35:14 +0000 2011,,1339,2012,4520
25761,252356447,TheDisabledDiva,en,Tue Feb 15 01:13:10 +0000 2011,Pacific Time (US & Canada),5239,4947,12270
25762,4090822402,SophiaPulser,en,Sun Nov 01 15:26:04 +0000 2015,,334,1392,9
25763,225458271,DexLincoln,en,Sat Dec 11 16:16:03 +0000 2010,London,22298,24065,46612
25765,22207190,bobbyd1953,en,Fri Feb 27 23:43:20 +0000 2009,Central Time (US & Canada),31,1918,30
