,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
58930,184508635,Sotomayor_Adam,en,Sun Aug 29 19:06:31 +0000 2010,Eastern Time (US & Canada),196,506,1086
59825,471583774,jessinicole6,en,Mon Jan 23 01:34:52 +0000 2012,Arizona,550,325,1560
59997,160130892,Amen_Zine,en,Sun Jun 27 07:55:27 +0000 2010,Pacific Time (US & Canada),148,685,2020
60554,330735142,ClaireYager,en,Thu Jul 07 02:25:49 +0000 2011,Eastern Time (US & Canada),479,154,6109
61041,1671294391,jpvgullery,en,Wed Aug 14 19:27:12 +0000 2013,Atlantic Time (Canada),467,328,7247
62878,2790224973,sivanmenache,en,Sun Sep 28 23:53:45 +0000 2014,,280,997,3120
63078,2874446142,chrysplatt,en,Fri Oct 24 03:17:09 +0000 2014,,226,839,1224
63236,61655506,northstarclub,en,Fri Jul 31 01:29:20 +0000 2009,Pacific Time (US & Canada),490,1203,1013
64608,193522549,Rizzo_Random,en,Wed Sep 22 01:11:17 +0000 2010,,1314,1713,8599
66981,1230867979,RoyandPrill,en,Fri Mar 01 18:38:41 +0000 2013,Pacific Time (US & Canada),21,236,1054
67303,245738239,chriskose,en,Tue Feb 01 10:56:23 +0000 2011,Greenland,318,1422,3391
67304,15140223,RudyMcComb,en,Tue Jun 17 00:02:43 +0000 2008,Pacific Time (US & Canada),678,1347,10048
68546,608491416,pelumiiiiii,en,Thu Jun 14 19:19:58 +0000 2012,Arizona,265,384,5379
69630,14914477,BrigBurton,en,Mon May 26 23:36:12 +0000 2008,Arizona,4975,649,3476
70265,207404407,SAmericanSchool,en,Mon Oct 25 07:43:46 +0000 2010,Singapore,894,908,1807
70958,2567118523,gatebkk,en,Sat Jun 14 13:19:19 +0000 2014,,211,687,1430
71054,133169256,cloudlock,en,Thu Apr 15 05:20:11 +0000 2010,Eastern Time (US & Canada),9315,4404,4647
71403,2734361280,mswacasey,en,Fri Aug 15 12:58:01 +0000 2014,Central Time (US & Canada),299,1095,655
71950,265802225,pawitrab,en,Mon Mar 14 04:54:19 +0000 2011,Baghdad,734,696,2743
72147,462128369,YorkUPresOffice,en,Thu Jan 12 16:04:51 +0000 2012,Eastern Time (US & Canada),4870,4215,6573
72395,2616065880,cctelecomjobs,en,Thu Jul 10 20:14:25 +0000 2014,,222,508,2913
73655,243724106,whatseatingharl,en,Thu Jan 27 17:37:20 +0000 2011,Eastern Time (US & Canada),1736,2009,3281
74371,171580937,The_Out_Siders,en,Tue Jul 27 17:48:00 +0000 2010,Eastern Time (US & Canada),709,1596,33503
75040,2732021382,wospk,en,Thu Aug 14 15:47:13 +0000 2014,Karachi,176,1344,560
75902,37113369,evellin_paiva,en,Sat May 02 02:16:47 +0000 2009,Brasilia,376,560,3706
76795,213186635,rkambati,en,Mon Nov 08 06:23:10 +0000 2010,New Delhi,84,1385,434
76946,490986566,DavidWright5215,en,Mon Feb 13 04:00:22 +0000 2012,,141,330,1058
78446,462513751,FL_Trust,en,Fri Jan 13 01:22:00 +0000 2012,Casablanca,7466,1734,5057
79780,1396484258,openSAP,en,Thu May 02 07:15:46 +0000 2013,Dublin,8305,999,5371
82408,1259765539,JoelAndrewD,en,Mon Mar 11 15:42:37 +0000 2013,Atlantic Time (Canada),1235,676,3167
83632,2593147320,BCompareHealth,en,Sat Jun 28 14:21:40 +0000 2014,Pacific Time (US & Canada),277,898,1044
87317,323043092,DesretaJackson,en,Fri Jun 24 04:46:07 +0000 2011,,16664,2074,830
87988,1225768602,RonDevard,en,Wed Feb 27 18:37:15 +0000 2013,,352,1566,6796
88142,13549862,eroberts718,en,Sat Feb 16 10:57:04 +0000 2008,Central Time (US & Canada),518,2012,6318
88450,50081895,FredWiddowson,en,Tue Jun 23 19:55:07 +0000 2009,Eastern Time (US & Canada),280,1933,5822
89025,245499504,Wonkhe,en,Mon Jan 31 20:54:22 +0000 2011,London,18337,14745,6007
90422,166385108,jonesy236,en,Wed Jul 14 01:07:45 +0000 2010,,567,2000,4279
92820,228009287,fatihozde,en,Sat Dec 18 13:10:18 +0000 2010,Istanbul,19911,2562,10299
93431,19754094,socialfinance,en,Fri Jan 30 04:28:28 +0000 2009,Eastern Time (US & Canada),11998,2772,15504
93530,12991012,gaurav_pandey,en,Sat Feb 02 21:30:40 +0000 2008,Melbourne,988,556,31112
8,4117197347,joan_francois,en,Thu Nov 05 05:31:54 +0000 2015,Pacific Time (US & Canada),2796,4953,118
18,2406809846,gsyweatherfox,en,Sun Mar 23 11:33:23 +0000 2014,,612,130,926
22,602901139,caribbeanftbl,en,Fri Jun 08 16:46:13 +0000 2012,London,3610,2571,27798
26,2994396687,JCChen87,en,Fri Jan 23 17:06:43 +0000 2015,,985,2924,1935
37,624109010,Maximpactdotcom,en,Sun Jul 01 21:39:43 +0000 2012,Arizona,4339,3920,4179
49,23008116,DominicScott,en,Fri Mar 06 01:04:09 +0000 2009,Pacific Time (US & Canada),400810,217855,72229
56,19306111,IStillLoveHER,en,Wed Jan 21 20:32:15 +0000 2009,Berlin,33676,24384,69931
58,3028166259,SONIstudy,en,Tue Feb 10 14:22:13 +0000 2015,,247,840,916
63,2875338939,EskoltaSchools,en,Thu Nov 13 17:36:14 +0000 2014,Eastern Time (US & Canada),128,710,686
65,1584678218,_JustMelanie_,en,Thu Jul 11 03:26:51 +0000 2013,Pacific Time (US & Canada),1154,1597,24098
79,20606286,pandutzu,en,Wed Feb 11 17:52:15 +0000 2009,Bucharest,8298,915,40012
85,18020390,iheartrocknroll,en,Wed Dec 10 14:44:51 +0000 2008,Eastern Time (US & Canada),2879,3078,86066
92,1977815706,SajithMSNair,en,Mon Oct 21 07:47:06 +0000 2013,New Delhi,845,857,17647
96,51195255,Jacks1913,en,Fri Jun 26 19:42:32 +0000 2009,Eastern Time (US & Canada),3147,3009,253
105,365262493,Young_Jove,en,Wed Aug 31 03:55:44 +0000 2011,Central Time (US & Canada),588,626,22441
107,3012058538,cutalltheshit,en,Sat Feb 07 07:28:32 +0000 2015,,926,836,305
110,1072636736,SeeTheChangeUSA,en,Wed Jan 09 02:39:12 +0000 2013,Mountain Time (US & Canada),270,882,1145
111,277611667,KafuiDey,en,Tue Apr 05 18:29:21 +0000 2011,Atlantic/Azores,72224,11579,24505
121,1486004563,GPPOil_Gas,en,Wed Jun 05 20:45:40 +0000 2013,Central Time (US & Canada),2414,1734,936
134,364892784,TheStoryXchange,en,Tue Aug 30 14:35:42 +0000 2011,Eastern Time (US & Canada),5864,2180,15111
135,19760382,drmicheleross,en,Fri Jan 30 09:17:17 +0000 2009,Mountain Time (US & Canada),111825,22288,24607
136,389450416,HStammK,en,Wed Oct 12 12:59:46 +0000 2011,Madrid,7051,6773,7163
155,406452995,Janarthanan21,en,Sun Nov 06 18:41:59 +0000 2011,New Delhi,105,207,1253
161,570266167,RKWDC,en,Thu May 03 20:29:17 +0000 2012,Eastern Time (US & Canada),48929,50031,1592
165,316042041,Scarberryfields,en,Sun Jun 12 21:13:14 +0000 2011,Central Time (US & Canada),83078,67891,154400
172,224351791,BenSwann_,en,Wed Dec 08 19:42:56 +0000 2010,Quito,53128,32666,6625
173,2860884496,stef_weiss,en,Tue Nov 04 15:22:34 +0000 2014,,211,557,525
176,300159654,oyun4488,en,Tue May 17 09:19:40 +0000 2011,,13966,12480,18742
185,122759220,PegFitzpatrick,en,Sat Mar 13 20:17:18 +0000 2010,Eastern Time (US & Canada),46567,23967,110452
213,74186243,dianeyentel,en,Mon Sep 14 15:48:02 +0000 2009,Pacific Time (US & Canada),18704,20568,2965
222,139792337,streamlinksw,en,Mon May 03 18:04:22 +0000 2010,Eastern Time (US & Canada),680,1861,2185
228,14430596,BerylLove,en,Fri Apr 18 07:01:26 +0000 2008,Pacific Time (US & Canada),2371,1123,5034
236,711716911,tdesiatov,en,Mon Jul 23 03:22:41 +0000 2012,Melbourne,686,1022,3028
240,24209476,JanuaryMagazine,en,Fri Mar 13 17:22:27 +0000 2009,Pacific Time (US & Canada),91749,77059,14756
261,34557065,_______1d_4ever,en,Thu Apr 23 06:58:05 +0000 2009,Sydney,46436,37541,18775
273,282594677,ashifashabba,en,Fri Apr 15 14:23:17 +0000 2011,Harare,75391,27460,16216
282,363348408,SMContractors,en,Sat Aug 27 23:16:39 +0000 2011,Central Time (US & Canada),4034,2677,10145
288,14738804,KevinWGrossman,en,Mon May 12 01:10:49 +0000 2008,Pacific Time (US & Canada),55671,28524,59579
293,41377904,AEPnews,en,Wed May 20 15:16:08 +0000 2009,Eastern Time (US & Canada),9292,2411,3331
