,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
8005,3243913086,crackoo_crackoo,en,Sat Jun 13 06:46:37 +0000 2015,Pacific Time (US & Canada),234,516,84
8066,369461363,jesperkatomero,en,Wed Sep 07 11:55:57 +0000 2011,,45,296,24
8070,911019355,YasmineOprea,en,Sun Oct 28 20:05:15 +0000 2012,,107,142,3491
8107,3065981285,graphiccocktail,en,Mon Mar 02 12:59:56 +0000 2015,Pacific Time (US & Canada),118,404,51
8112,3592197013,jjpanara,en,Thu Sep 17 08:51:39 +0000 2015,,197,3343,6
8153,55297411,TutorClarissa,en,Thu Jul 09 17:18:18 +0000 2009,London,205,386,6551
8210,168814354,neslinozguroglu,en,Tue Jul 20 21:31:32 +0000 2010,Central America,211,270,5052
8235,63268579,BioProcessingJ,en,Wed Aug 05 21:50:40 +0000 2009,Eastern Time (US & Canada),511,642,32
8281,770380836,uihpfellowships,en,Mon Aug 20 23:00:06 +0000 2012,Eastern Time (US & Canada),329,1135,1068
8371,3309924260,nikzsolanki11,en,Sat Aug 08 19:14:09 +0000 2015,,114,517,149
8398,2768439395,gpizz3,en,Sat Sep 13 01:04:43 +0000 2014,,41,62,12
8561,3307088713,Skyive,en,Wed Aug 05 15:14:36 +0000 2015,,33,162,19
8575,3554872875,RenaonFunds,en,Sat Sep 05 11:27:10 +0000 2015,,360,1109,623
8587,1374330576,mukesh_dacron,en,Tue Apr 23 10:30:29 +0000 2013,New Delhi,39,184,9
8591,133292653,tracymastel,en,Thu Apr 15 13:32:37 +0000 2010,Central Time (US & Canada),15,112,85
8610,397413572,CindyVien,en,Mon Oct 24 17:14:06 +0000 2011,,633,1938,61811
9063,626596418,KapasiAnasha,en,Wed Jul 04 16:45:26 +0000 2012,,195,261,2710
9086,599748128,Dial_Law,en,Tue Jun 05 02:23:18 +0000 2012,Pacific Time (US & Canada),114,107,216
9232,2760060362,TianalynH,en,Sat Aug 23 19:49:54 +0000 2014,Hawaii,161,1079,105
9303,611439998,abrossfield,en,Mon Jun 18 06:20:41 +0000 2012,,277,269,266
9429,3773276234,samanzahra_,en,Sat Oct 03 19:41:11 +0000 2015,,104,815,45
9447,2812507482,phuc_blackjacks,en,Tue Sep 16 06:09:17 +0000 2014,,23,165,16
9486,2962782727,ksg_iacs,en,Wed Jan 07 09:32:54 +0000 2015,,62,199,1433
9632,703392684,Rocco_JG,en,Wed Jul 18 16:45:11 +0000 2012,Central Time (US & Canada),609,1766,7307
9678,264943963,DrPetkova,en,Sat Mar 12 18:35:36 +0000 2011,Atlantic Time (Canada),35,165,17
9819,51526107,mbreston,en,Sat Jun 27 19:10:19 +0000 2009,Central Time (US & Canada),315,1398,613
9925,25851212,Moneypenny1981,en,Sun Mar 22 18:01:16 +0000 2009,London,105,1309,1398
10097,3503955793,louisianuuuh,en,Wed Sep 09 11:56:41 +0000 2015,,220,911,1260
10449,17066587,SandraYChung,en,Thu Oct 30 14:57:03 +0000 2008,Eastern Time (US & Canada),127,432,169
10609,3042621264,EFMtweets,en,Thu Feb 26 06:46:16 +0000 2015,Pacific Time (US & Canada),200,1327,6
10707,92670247,jereyal,en,Thu Nov 26 02:52:50 +0000 2009,Central Time (US & Canada),209,1232,257
10724,2302245518,Tyhenry22,en,Tue Jan 21 00:47:04 +0000 2014,,650,753,2652
10728,3317253353,iamakki_007,en,Wed Jun 10 12:26:18 +0000 2015,,45,226,92
10760,389609128,kemrichardson7,en,Wed Oct 12 18:16:58 +0000 2011,Quito,11406,1342,17821
10875,974685444,JBTasevska,en,Tue Nov 27 20:56:05 +0000 2012,,395,589,878
10993,71268193,tothepunchline,en,Thu Sep 03 14:37:00 +0000 2009,Yerevan,50,167,2593
11056,3104024210,swetha_berana,en,Mon Mar 23 01:55:58 +0000 2015,,163,240,168
11070,2922596547,Hostos_ASB,en,Mon Dec 15 09:29:04 +0000 2014,,71,292,21
11358,2333015588,AKshyGuPta94,en,Sat Feb 08 06:58:50 +0000 2014,Pacific Time (US & Canada),20,338,8
11388,2548113493,EFordyce1,en,Thu Jun 05 12:55:59 +0000 2014,,29,222,167
11468,3092097566,destinyvrose,en,Tue Mar 17 03:50:38 +0000 2015,,110,210,117
11489,600885039,umakantkulkarni,en,Wed Jun 06 08:41:04 +0000 2012,Pacific Time (US & Canada),46,281,84
