source,target
868637460,198532943
868637460,703392684
868637460,381872892
868637460,133169256
868637460,282189177
8447862,227907792
8447862,15140223
1259551350,245499504
334544871,737668819
3385825005,245499504
3385825005,325328148
16711026,67727882
16711026,198532943
16711026,381872892
16711026,282189177
2425753818,133169256
15751780,459120920
235140283,737668819
2549809711,245499504
2831595586,737668819
383953014,2235466475
720793136,2323860711
404984350,19754094
872421781,198532943
543844884,166385108
27768160,20408891
407693945,3742259417
2211244149,1671294391
42814345,133169256
42158083,171580937
207323988,13549862
207323988,243724106
207323988,2864978560
53029609,462513751
344754757,462128369
2914347780,3706343775
3338877533,1090128866
3338877533,462128369
3338877533,2616065880
16232264,19754094
1923248718,19754094
1484030394,2826743402
136401228,459120920
354092535,3883927573
33417701,389609128
3340367548,703392684
2561691740,960745897
2667664074,737668819
15444539,737668819
83980276,14308012
300496198,133169256
3937914677,133169256
94583154,462128369
239591418,509083512
239591418,23593496
239591418,25510622
239591418,2874446142
110921023,737668819
879161563,509083512
879161563,2732021382
879161563,179940298
879161563,2593147320
879161563,3706343775
879161563,37113369
1066076850,389609128
1335599142,3243913086
1021792362,243724106
427362546,2826743402
542882615,4143211455
529679809,2887201159
2762583461,389609128
76684509,14308012
3087376102,19754094
237986665,2734361280
113470302,14308012
474143,1396484258
14579415,23888835
14579415,19754094
14579415,2871959037
14579415,32694093
14579415,25510622
14579415,15140223
14579415,14308012
14579415,133169256
243741680,462513751
3399606689,282189177
86177206,344336841
86177206,23593496
86177206,13549862
52537190,23888835
52537190,127374165
2325594750,245499504
17467699,23888835
17467699,19754094
17467699,258093389
17467699,207404407
17467699,2871959037
17467699,462513751
17467699,198532943
17467699,127374165
16718817,1396484258
467066383,14914477
2833236600,25510622
1880620868,737668819
310660918,3029664532
310660918,4143211455
2433374941,19754094
2433374941,459120920
1413584107,737668819
193790024,23888835
226604778,2734361280
378206995,193522549
378206995,2235466475
378206995,381872892
720567793,3314091134
720567793,703392684
720567793,737668819
86007399,12991012
369202057,459120920
431732080,245499504
75983963,1259765539
75983963,459120920
21360154,67727882
21360154,459120920
2279291538,737668819
371591675,462128369
454981972,282189177
87403396,258093389
87403396,179940298
87403396,443443540
