,id_str,created_at,retweet_count,favorite_count,text
41,669028930930741248,Tue Nov 24 05:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.33; Campbx:$320; Bitstamp:$321.24; Kraken:$321.54327;   https://t.co/gHIKBc6mvg
42,669025154647879680,Tue Nov 24 05:30:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.579; Campbx:$320; Bitstamp:$320.6; Kraken:$320.73735;   https://t.co/gHIKBc6mvg
43,669021383087800320,Tue Nov 24 05:15:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.738; Bitstamp:$319.69; Campbx:$320; Bitfinex:$320.01;   https://t.co/gHIKBc6mvg
44,669017607727652864,Tue Nov 24 05:00:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.589; Campbx:$320; Bitstamp:$320.03; Bitfinex:$320.1;   https://t.co/gHIKBc6mvg
45,669013831444799488,Tue Nov 24 04:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.523; Bitstamp:$320; Campbx:$320; Bitfinex:$320.2;   https://t.co/gHIKBc6mvg
46,669010058169229312,Tue Nov 24 04:30:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.909; Bitstamp:$319.99; Campbx:$320; Bitfinex:$320.28;   https://t.co/gHIKBc6mvg
47,669006281819099136,Tue Nov 24 04:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.835; Campbx:$320; Kraken:$320.43899; Bitfinex:$320.49;   https://t.co/gHIKBbOL6G
48,669002505741836289,Tue Nov 24 04:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.706; Campbx:$320; Bitstamp:$321.07; Kraken:$321.13598;   https://t.co/gHIKBc6mvg
49,668998733363834880,Tue Nov 24 03:45:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.67; Campbx:$320; Kraken:$320.00998; Bitstamp:$320.42;   https://t.co/gHIKBc6mvg
50,668994958179872769,Tue Nov 24 03:30:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.441; Campbx:$320; Kraken:$320; Bitfinex:$320.14;   https://t.co/gHIKBc6mvg
51,668991181410422784,Tue Nov 24 03:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.15; Kraken:$318; Bitfinex:$319.89; Campbx:$320;   https://t.co/gHIKBc6mvg
52,668987407400857600,Tue Nov 24 03:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.789; Kraken:$319.84; Bitfinex:$319.86; Campbx:$320;   https://t.co/gHIKBc6mvg
53,668983631398965248,Tue Nov 24 02:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.999; Kraken:$319.66123; Bitstamp:$319.75; Campbx:$320;   https://t.co/gHIKBc6mvg
54,668979858886799360,Tue Nov 24 02:30:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$316.448; Kraken:$318.43; Bitstamp:$318.9; Bitfinex:$319.04;   https://t.co/gHIKBc6mvg
55,668976086852726784,Tue Nov 24 02:15:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$315.399; Kraken:$317.37999; Bitfinex:$317.8; Bitstamp:$317.96;   https://t.co/gHIKBc6mvg
56,668972305696096256,Tue Nov 24 02:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.434; Campbx:$320; Kraken:$320.72733; Bitfinex:$321.89;   https://t.co/gHIKBc6mvg
57,668968532827381761,Tue Nov 24 01:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.91; Campbx:$320; Kraken:$321.17999; Bitfinex:$322.13;   https://t.co/gHIKBc6mvg
58,668964758217977856,Tue Nov 24 01:30:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.076; Campbx:$320; Kraken:$320.23; Bitfinex:$321.34;   https://t.co/gHIKBc6mvg
59,668960981620498432,Tue Nov 24 01:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.809; Campbx:$320; Kraken:$321.17; Bitstamp:$322.21;   https://t.co/gHIKBc6mvg
60,668957209330638848,Tue Nov 24 01:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.979; Campbx:$320; Kraken:$321.15999; Bitstamp:$322.05;   https://t.co/gHIKBc6mvg
61,668953435249623040,Tue Nov 24 00:45:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$317.99; Campbx:$320; Kraken:$321.21; Bitstamp:$322.07;   https://t.co/gHIKBbOL6G
62,668949658262204417,Tue Nov 24 00:30:01 +0000 2015,0,1,#Bitcoin Prices: Campbx:$320; Btc-e:$320.027; Kraken:$322.66999; Bitstamp:$323.03;   https://t.co/gHIKBc6mvg
63,668945883870978048,Tue Nov 24 00:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.533; Campbx:$320; Kraken:$322.56999; Bitstamp:$323.16;   https://t.co/gHIKBc6mvg
64,668942109311901697,Tue Nov 24 00:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.476; Campbx:$320; Kraken:$323.13976; Bitstamp:$323.48;   https://t.co/gHIKBc6mvg
65,668938334518059008,Mon Nov 23 23:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.078; Campbx:$320; Kraken:$322.01999; Bitstamp:$322.78;   https://t.co/gHIKBc6mvg
66,668934560739119104,Mon Nov 23 23:30:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.483; Campbx:$320; Kraken:$322.68425; Bitstamp:$323.01;   https://t.co/gHIKBc6mvg
67,668930784498176000,Mon Nov 23 23:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.382; Campbx:$320; Kraken:$321.69; Bitfinex:$322.94;   https://t.co/gHIKBc6mvg
68,668927009062526978,Mon Nov 23 23:00:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.013; Campbx:$320; Kraken:$322.12; Bitstamp:$323.43;   https://t.co/gHIKBc6mvg
69,668923235631824897,Mon Nov 23 22:45:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$318.935; Campbx:$320; Kraken:$322.45; Bitstamp:$322.96;   https://t.co/gHIKBc6mvg
70,668919459277627392,Mon Nov 23 22:30:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.167; Campbx:$320; Kraken:$322.61; Bitstamp:$323.95;   https://t.co/gHIKBc6mvg
71,668915685528064000,Mon Nov 23 22:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.27; Campbx:$320; Kraken:$322.67; Bitstamp:$324.03;   https://t.co/gHIKBc6mvg
72,668911910818070528,Mon Nov 23 22:00:01 +0000 2015,0,0,#Bitcoin Prices: Campbx:$320; Btc-e:$320.4; Kraken:$323.12; Bitstamp:$324.58;   https://t.co/gHIKBc6mvg
73,668908133864112128,Mon Nov 23 21:45:01 +0000 2015,0,0,#Bitcoin Prices: Campbx:$320; Btc-e:$320.407; Kraken:$323.15; Bitstamp:$324.32;   https://t.co/gHIKBc6mvg
74,668904359892242432,Mon Nov 23 21:30:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.92; Campbx:$320; Kraken:$323.05; Bitstamp:$324.2;   https://t.co/gHIKBc6mvg
75,668900584653791232,Mon Nov 23 21:15:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.9; Kraken:$323.57; Bitstamp:$324.21; Bitfinex:$324.95;   https://t.co/gHIKBc6mvg
76,668896818126811137,Mon Nov 23 21:00:03 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$320.1; Kraken:$323.07; Bitstamp:$324.48; Bitfinex:$324.55;   https://t.co/gHIKBc6mvg
77,668893036034859009,Mon Nov 23 20:45:01 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.66; Kraken:$322.92; Bitstamp:$323.87; Bitfinex:$324.07;   https://t.co/gHIKBc6mvg
78,668889262545313793,Mon Nov 23 20:30:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.2; Kraken:$322.52; Bitstamp:$323.7; Bitfinex:$324.21;   https://t.co/gHIKBc6mvg
79,668885487134908416,Mon Nov 23 20:15:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.129; Kraken:$322.97999; Bitfinex:$324.18; Bitstamp:$324.31;   https://t.co/gHIKBc6mvg
80,668881712567468032,Mon Nov 23 20:00:02 +0000 2015,0,0,#Bitcoin Prices: Btc-e:$319.407; Kraken:$322.94999; Bitfinex:$324.18; Bitstamp:$324.32;   https://t.co/gHIKBc6mvg
