,id_str,created_at,retweet_count,favorite_count,text
106,668208184830484480,Sat Nov 21 23:23:40 +0000 2015,0,1,"RT: @Lalka_pff @JaysonKJennings is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
107,668175497302446080,Sat Nov 21 21:13:47 +0000 2015,0,0,"RT: @CorcaCande @HarrisBMcLean @plotalot777 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
108,668159253165699073,Sat Nov 21 20:09:14 +0000 2015,0,0,"RT: @DialloL73775267 @YUNVMEB is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
109,668159251248840704,Sat Nov 21 20:09:13 +0000 2015,0,0,"RT: @msgolightely @Stephen46445027 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
110,668142959028645888,Sat Nov 21 19:04:29 +0000 2015,0,0,"RT: @Imran_Qalandar @Importantest is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
111,668142957090897920,Sat Nov 21 19:04:29 +0000 2015,0,0,"RT: @ra7all27 @bkyas1 @TRobRadio is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
112,668127040743194624,Sat Nov 21 18:01:14 +0000 2015,0,0,"RT: @newyorkgrimaldi @Olori_Cindy is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
113,668110174029115392,Sat Nov 21 16:54:13 +0000 2015,0,0,"RT: @haley_Oakley275 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
114,668093872950542336,Sat Nov 21 15:49:26 +0000 2015,0,0,"RT: @40Loccsta is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
115,668077529312313344,Sat Nov 21 14:44:29 +0000 2015,0,1,"RT: @nivea_mc @hiphopjakaria @vichal111 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
116,668061423239434241,Sat Nov 21 13:40:29 +0000 2015,0,0,"RT: @SupAdventureUK is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
117,668028426717020160,Sat Nov 21 11:29:22 +0000 2015,0,0,"RT: @akshay_dhulap is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
118,668028424733110272,Sat Nov 21 11:29:22 +0000 2015,0,0,"RT: @VixxSingh2015 @GabrielaGeorg18 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
119,668011960127000576,Sat Nov 21 10:23:57 +0000 2015,0,0,"RT: @xswagcitybitch @stell_yayra is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
120,667995981858762752,Sat Nov 21 09:20:27 +0000 2015,0,1,"RT: @smartboyalp @kyara036 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
121,667979356736622597,Sat Nov 21 08:14:23 +0000 2015,0,0,"RT: @athletes_pro is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
122,667946474349576192,Sat Nov 21 06:03:43 +0000 2015,0,0,"RT: @HuzurIslamda24 @kadie_hoskins is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
