,id_str,created_at,retweet_count,favorite_count,text
48,666293515802968064,Mon Nov 16 16:35:27 +0000 2015,0,0,San Diego State vs ... https://t.co/1YAeteuZpU #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/79LGNW7X5C
49,666241019659223040,Mon Nov 16 13:06:51 +0000 2015,0,0,Colorado State foot... https://t.co/mBmAEordQe #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/3hhD0pFlWn
50,666141907433578496,Mon Nov 16 06:33:01 +0000 2015,0,0,New Mexico basketba... https://t.co/dcDsObZnkc #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/RHzosQVsUW
51,666111755743944704,Mon Nov 16 04:33:12 +0000 2015,0,0,Nevada Basketball: ... https://t.co/u1GRqHlNYB #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/Ba5KrXpjQE
52,666017430288797696,Sun Nov 15 22:18:24 +0000 2015,0,0,SDSU Baseball Recru... https://t.co/r0OLgrw9Cq #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/52PJDSOTtE
53,666014354521788416,Sun Nov 15 22:06:10 +0000 2015,0,1,Nevada Basketball: ... https://t.co/oZAE7zUObD #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/txGtU50dpB
54,666012605434097664,Sun Nov 15 21:59:13 +0000 2015,0,0,Fresno State vs. Ha... https://t.co/q7dcTaTZUr #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/svBZmpX2MX
55,665967096174505984,Sun Nov 15 18:58:23 +0000 2015,0,1,New Mexico vs. Bois... https://t.co/oZviRPyVDx #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/4IRlAvxKJD
56,665909866653839360,Sun Nov 15 15:10:58 +0000 2015,0,0,Nevada Football Rec... https://t.co/lvoFrzYCqH #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/ezDCHiM8lE
57,665760586026758145,Sun Nov 15 05:17:47 +0000 2015,1,0,UNLV Rebels vs. Col... https://t.co/M9qEzqddwV #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/MKP6AHSVfY
58,665741914755366912,Sun Nov 15 04:03:36 +0000 2015,0,0,Nevada Football: Wo... https://t.co/cWf6YSlvCV #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/9Evy71NVXP
59,665658830898892801,Sat Nov 14 22:33:27 +0000 2015,0,0,San Diego State vs.... https://t.co/W2Hx5jAfDZ #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/dVqmNZWYY8
60,665647303697371136,Sat Nov 14 21:47:38 +0000 2015,0,0,NCAA tournament pro... https://t.co/VfC5cKsIVY #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/fWTiozcVeP
61,665632195281707008,Sat Nov 14 20:47:36 +0000 2015,0,0,Utah State vs. Air ... https://t.co/syi3UysXc4 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/6lsOxJNjEd
62,665621094141812738,Sat Nov 14 20:03:30 +0000 2015,0,0,Utah State vs. Webe... https://t.co/WS9QJ9YCnV #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/MSVPAPVS2K
63,665598282752593920,Sat Nov 14 18:32:51 +0000 2015,0,0,Mountain West footb... https://t.co/lGzoWtYTwi #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/KaCbg5vD8g
64,665425033477640192,Sat Nov 14 07:04:25 +0000 2015,0,0,Air Force Basketbal... https://t.co/G1vwUDCynU #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/yXnGVBq9l5
65,665420880051363841,Sat Nov 14 06:47:55 +0000 2015,0,0,Nevada Basketball: ... https://t.co/yBabJbsqsp #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/kSx3rc7HHV
66,665390612238077952,Sat Nov 14 04:47:38 +0000 2015,0,0,New Mexico vs. Texa... https://t.co/kaDlNTuEKl #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/YSqbvSZ8P2
67,665367950853967872,Sat Nov 14 03:17:36 +0000 2015,0,0,Week 10 Mountain We... https://t.co/t4GKR5XQrt #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/ciuyWuWljB
68,665330267280703489,Sat Nov 14 00:47:51 +0000 2015,0,0,Mountain West baske... https://t.co/2eaXi6vDbZ #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/4XKk7jPR1j
69,665296521143816193,Fri Nov 13 22:33:45 +0000 2015,0,0,San Diego State vs.... https://t.co/OaVTF26oIa #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/SDfrNdPGic
70,665292712082546688,Fri Nov 13 22:18:37 +0000 2015,0,0,Utah State vs. Webe... https://t.co/ACMAzMmnx7 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/dwyiBJE2Ym
71,665224747479789568,Fri Nov 13 17:48:33 +0000 2015,0,0,UNLV vs. Cal Poly g... https://t.co/aMVgwvIChh #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/QKAQXFt3W1
72,665221020815462400,Fri Nov 13 17:33:45 +0000 2015,0,0,Fresno State footba... https://t.co/LNiyAKBSEj #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/w5JwoBqPuj
73,665194517457338368,Fri Nov 13 15:48:26 +0000 2015,0,0,Nevada Basketball: ... https://t.co/tXGFVI6OhE #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/p7U64qQOf0
74,665156756629159936,Fri Nov 13 13:18:23 +0000 2015,0,0,Week 1 Mountain Wes... https://t.co/oz4Q5wurZE #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/wfdRHWdFa0
75,664982996471050242,Fri Nov 13 01:47:55 +0000 2015,0,0,Nevada Football: Ke... https://t.co/EECi9B6Var #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/NkbCySeBX8
76,664914744801755136,Thu Nov 12 21:16:43 +0000 2015,0,0,Boise State vs. Mon... https://t.co/5ffONWTTHo #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/YsspgsAvDn
77,664866434552496128,Thu Nov 12 18:04:45 +0000 2015,0,0,San Diego State bas... https://t.co/DmbghbLXyW #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/H6CBVHjyna
78,664851308428464128,Thu Nov 12 17:04:38 +0000 2015,0,0,San Jose State vs. ... https://t.co/WQj2SV8ThO #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/jrlpNbXyTy
79,664839721399402496,Thu Nov 12 16:18:36 +0000 2015,0,0,Air Force Football:... https://t.co/FSg1kKaUXq #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/zMOnzOdVxK
80,664817052759097344,Thu Nov 12 14:48:31 +0000 2015,0,0,PODCAST: Week 11 Mo... https://t.co/SxRaxM7kzT #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/WoGdLpcI6r
81,664681160295841792,Thu Nov 12 05:48:32 +0000 2015,0,0,Nevada Basketball R... https://t.co/NVHnzWTlwo #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/L4rsevPeEA
82,664639959186276352,Thu Nov 12 03:04:49 +0000 2015,0,0,Utah State basketba... https://t.co/GonXPQTEmP #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/4lAEIPzEzo
83,664620790881488897,Thu Nov 12 01:48:39 +0000 2015,0,0,Boise State Basketb... https://t.co/JgtseJSg7s #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/2GU1mIQeNj
84,664605525582090240,Thu Nov 12 00:47:59 +0000 2015,0,0,Nevada football rec... https://t.co/tLaAbVkDjV #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/ABUbrpYM60
85,664575462299930624,Wed Nov 11 22:48:32 +0000 2015,0,0,Boise State vs New ... https://t.co/xIvmI6Scfk #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/Ad3akv7kOc
86,664485018991919104,Wed Nov 11 16:49:08 +0000 2015,0,2,Border War Beatdown... https://t.co/FGfwr4jw6z #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/tBYrLKt3eN
87,664462385139154945,Wed Nov 11 15:19:12 +0000 2015,0,0,Week 11 Mountain We... https://t.co/RPJ3DDa5QF #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/3oNQh5HZZh
88,664156811272937472,Tue Nov 10 19:04:57 +0000 2015,0,0,Week 11 Mountain We... https://t.co/yNG8MiRr0B #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/2h8sagOF0D
89,664069583301558272,Tue Nov 10 13:18:21 +0000 2015,0,0,Week 11 Mountain We... https://t.co/umRR1FBLyA #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/3U6DD3Wwe7
90,663964079535427585,Tue Nov 10 06:19:07 +0000 2015,0,0,San Jose State Foot... https://t.co/BcI1BqA6xL #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/30jr0d7Gpy
91,663843233311539200,Mon Nov 09 22:18:55 +0000 2015,0,0,Week 11 Mountain We... https://t.co/H5UovzmIyi #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/YF9KLWRdvM
92,663840107540054016,Mon Nov 09 22:06:29 +0000 2015,0,0,Fresno State footba... https://t.co/TqIoNFkdtR #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/jA6CfPmTT8
93,663718848076582912,Mon Nov 09 14:04:39 +0000 2015,0,0,Boise State adds a ... https://t.co/MMAzgdjjh5 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/w83HDLDjAW
94,663714656775749633,Mon Nov 09 13:48:00 +0000 2015,0,0,PODCAS: Week 10 Mou... https://t.co/AXxUTjp2le #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/gQ8JcqnVto
95,663484563365072896,Sun Nov 08 22:33:41 +0000 2015,0,0,Week 10 Mountain We... https://t.co/93gYoVnK86 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/1fpB99jIUT
96,663469399874105344,Sun Nov 08 21:33:26 +0000 2015,0,0,New Mexico vs. Utah... https://t.co/WRpBnReNA9 #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/Eknz7So4i7
97,663386502542528513,Sun Nov 08 16:04:01 +0000 2015,0,0,Utah State finalize... https://t.co/b953jVpTMR #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/VGrwrHLvOu
98,663341210740781056,Sun Nov 08 13:04:03 +0000 2015,0,0,2015 Boise State Ba... https://t.co/f33QPsyyQw #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/3I4TAmh9b8
99,663152282968694784,Sun Nov 08 00:33:19 +0000 2015,0,0,Grading UNLV Basket... https://t.co/cLs45opTgm #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMPKoC https://t.co/PZ9ESZEQBr
100,663144849634275328,Sun Nov 08 00:03:47 +0000 2015,0,1,Air Force Football:... https://t.co/EIfPaphjtW #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/epMpGXxMZj
101,663107009080745984,Sat Nov 07 21:33:25 +0000 2015,0,0,San JOse State vs. ... https://t.co/PP6oQedVEt #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/yvh64bqnsw
102,663087957172051968,Sat Nov 07 20:17:43 +0000 2015,0,0,Hawaii vs. UNLV gam... https://t.co/NOscAhoQpE #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/KaoejQUN7x
103,663084471042732033,Sat Nov 07 20:03:52 +0000 2015,0,0,Week 10 Mountain We... https://t.co/u5nZI1HqSg #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/N3t93hTP1R
104,662826262004563969,Sat Nov 07 02:57:50 +0000 2015,0,0,San Jose State vs. ... https://t.co/XGQSK4K8rx #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/EjtcZVSmth
105,662793366547992576,Sat Nov 07 00:47:07 +0000 2015,0,0,Utah State vs. New ... https://t.co/8TGjaNJNdA #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/HJ0iVmTHqY
106,662716801332043776,Fri Nov 06 19:42:52 +0000 2015,0,0,Hawaii football coa... https://t.co/5Zjeaaktro #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/cvoVI8xxHI
107,662704395956547584,Fri Nov 06 18:53:35 +0000 2015,0,0,Wyoming vs. Colorad... https://t.co/pgJhKIVgXC #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/DExWD8SgbS
108,662698144795222016,Fri Nov 06 18:28:44 +0000 2015,0,0,San Jose State vs. ... https://t.co/qePy9r821b #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/gnUyiFvXTw
109,662674935937019905,Fri Nov 06 16:56:31 +0000 2015,0,0,Nevada vs. Fresno S... https://t.co/5Jo4pG2BSa #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/pmFKdj9231
110,662638926364999680,Fri Nov 06 14:33:25 +0000 2015,0,0,3 keys to a UNLV wi... https://t.co/46ZSZHdFtZ #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/BvNfPqfkwq
111,662551963351912448,Fri Nov 06 08:47:52 +0000 2015,0,0,Nevada Football: The Wolf Pack used big plays... https://t.co/zeCrlOXOGj #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902
112,662460515130568704,Fri Nov 06 02:44:29 +0000 2015,0,0,Fresno State vs. Ne... https://t.co/KXinCZQ0Sv #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/wdTH0bjryF
113,662446773940555776,Fri Nov 06 01:49:53 +0000 2015,0,0,Hawaii quarterback ... https://t.co/dKlO2YnT3M #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/drIQIhQOlv
114,662430395279892480,Fri Nov 06 00:44:48 +0000 2015,0,0,Boise State footbal... https://t.co/lKFN14qy1C #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/KcAbPbsTT0
115,662321185384849408,Thu Nov 05 17:30:50 +0000 2015,0,1,Week 10 Mountain We... https://t.co/IE6P3MaPhZ #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/XhDCquwTG5
116,662284311463227392,Thu Nov 05 15:04:19 +0000 2015,0,0,PODCAST: Week 10 Mo... https://t.co/zFKRy3JjFg #CSURams #Rams #ColoradoStateUniversity | https://t.co/jmwujMy902 https://t.co/L3KDjfOt1Y
